iteration	\log_{10}(R_{\rho})
486	-5.1476015077
487	-5.1649983722
488	-5.1819465807
489	-5.1960587495
490	-5.2047355097
491	-5.2059611318
492	-5.1991679922
493	-5.1855575189
494	-5.1676004719
495	-5.1481891966
496	-5.1298870784
497	-5.1146460446
498	-5.1038173321
499	-5.0982900641
500	-5.0985818879
501	-5.1049473558
502	-5.1173815239
503	-5.1355621541
504	-5.1587048224
505	-5.1853144026
506	-5.2128787288
507	-5.2377001485
508	-5.2553939346
509	-5.2622748867
510	-5.2572467276
511	-5.2424662547
512	-5.2221092859
513	-5.2005262546
514	-5.181091185
515	-5.1660318811
516	-5.1566629777
517	-5.1536907801
518	-5.1574136031
519	-5.1678129598
520	-5.1845384395
521	-5.2067731494
522	-5.2329710481
523	-5.2605037103
524	-5.2854647774
525	-5.3030301221
526	-5.3090188308
527	-5.3020482354
528	-5.2843545254
529	-5.2604205699
530	-5.2348729468
531	-5.2112279729
532	-5.1917251195
533	-5.1776241767
534	-5.1695520437
535	-5.167748752
536	-5.1722021567
537	-5.1826935755
538	-5.1987693851
539	-5.2196354529
540	-5.2440176938
541	-5.2699212459
542	-5.2945719346
543	-5.3145967007
544	-5.3267999369
545	-5.3294058606
546	-5.3228633556
547	-5.3096207687
548	-5.2929797916
549	-5.2760110261
550	-5.2610223992
551	-5.2495181628
552	-5.242355569
553	-5.2399231521
554	-5.2422576236
555	-5.2491257084
556	-5.2600044131
557	-5.2740368037
558	-5.2899862449
559	-5.3061919646
560	-5.3206497656
561	-5.3312792835
562	-5.3364279393
563	-5.3353713932
564	-5.3285759468
565	-5.3175059793
566	-5.3041193652
567	-5.2903553752
568	-5.2778459403
569	-5.2677969456
570	-5.2610203581
571	-5.2580051373
572	-5.2589820587
573	-5.2639696111
574	-5.272783867
575	-5.2850025554
576	-5.299960555
577	-5.316658639
578	-5.333744404
579	-5.349557505
580	-5.3623149108
581	-5.3704688177
582	-5.3731371323
583	-5.3703976324
584	-5.3632539294
585	-5.3532984623
586	-5.3422859174
587	-5.3317896337
588	-5.3230276063
589	-5.3168681261
590	-5.3138223488
591	-5.3141097342
592	-5.3176921179
593	-5.3242832283
594	-5.3333443697
595	-5.3440740927
596	-5.3554119781
597	-5.366099289
598	-5.3748198331
599	-5.3804318077
600	-5.3822347473
601	-5.3801604373
602	-5.3747856716
603	-5.3671645851
604	-5.3585700916
605	-5.3502300105
606	-5.3431855389
607	-5.3382223351
608	-5.3358643301
609	-5.3363842542
610	-5.3398282363
611	-5.3460248411
612	-5.3545824378
613	-5.3648961102
614	-5.3761433636
615	-5.3873227123
616	-5.3973386301
617	-5.4051578112
618	-5.4100011115
619	-5.4115266528
620	-5.4099016474
621	-5.4057477803
622	-5.3999780978
623	-5.3936035308
624	-5.3875599667
625	-5.3826142163
626	-5.3793189249
627	-5.3780056352
628	-5.3788010422
629	-5.3816395304
630	-5.3862863951
631	-5.3923505359
632	-5.3993037285
633	-5.4065149645
634	-5.4133089448
635	-5.4190348164
636	-5.4231677043
637	-5.425385006
638	-5.4256203691
639	-5.4240674381
640	-5.4211324946
641	-5.4173515069
642	-5.4133012187
643	-5.4095223792
644	-5.4064696252
645	-5.4044868846
646	-5.4037958181
647	-5.4044946179
648	-5.4065671562
649	-5.4098926465
650	-5.4142547343
651	-5.4193542792
652	-5.4248304769
653	-5.4302871251
654	-5.435326611
655	-5.4395905774
656	-5.4428043785
657	-5.444813862
658	-5.4456035891
659	-5.4452957937
660	-5.4441307993
661	-5.4424314706
662	-5.4405584529
663	-5.4388692972
664	-5.4376844447
665	-5.4372620335
666	-5.4377813557
667	-5.439329235
668	-5.4419005896
669	-5.4453930086
670	-5.4496065261
671	-5.4542623523
672	-5.4590139776
673	-5.4634716395
674	-5.4672460047
675	-5.4699997968
676	-5.4714945766
677	-5.471630671
678	-5.4704686784
679	-5.4682168813
680	-5.4652065686
681	-5.4618384853
682	-5.4585331585
683	-5.4556892775
684	-5.4536486986
685	-5.4526688852
686	-5.4529098911
687	-5.4544300373
688	-5.4571821196
689	-5.461016125
690	-5.4656856858
691	-5.4708601552
692	-5.4761514848
693	-5.4811530718
694	-5.4854782151
695	-5.4888138515
696	-5.4909674696
697	-5.4918995071
698	-5.4917256915
699	-5.4906970579
700	-5.4891596093
701	-5.487501117
702	-5.4861008877
703	-5.4852863886
704	-5.4853044631
705	-5.4863009497
706	-5.488309879
707	-5.4912510514
708	-5.4949338058
709	-5.4990690504
710	-5.5032917041
711	-5.507196467
712	-5.5103854017
713	-5.5125225952
714	-5.5133869066
715	-5.5129116184
716	-5.5111972982
717	-5.5084954408
718	-5.5051684987
719	-5.5016367946
720	-5.498326557
721	-5.4956240512
722	-5.4938443187
723	-5.493211005
724	-5.4938455608
725	-5.4957629817
726	-5.4988719723
727	-5.5029807424
728	-5.5078058935
729	-5.5129917229
730	-5.5181410735
731	-5.5228520554
732	-5.5267670479
733	-5.5296209898
734	-5.5312824555
735	-5.53177091
736	-5.5312533846
737	-5.530012977
738	-5.5284029574
739	-5.5267949671
740	-5.525534152
741	-5.5249016657
742	-5.5250896843
743	-5.5261878306
744	-5.5281771704
745	-5.5309318896
746	-5.5342288266
747	-5.5377657083
748	-5.5411899768
749	-5.5441389628
750	-5.5462873165
751	-5.5473953478
752	-5.547349207
753	-5.5461808233
754	-5.5440641625
755	-5.5412878136
756	-5.5382122037
757	-5.5352215293
758	-5.5326800704
759	-5.5308977644
760	-5.5301063895
761	-5.5304457769
762	-5.5319554396
763	-5.534576887
764	-5.5381539225
765	-5.5424433384
766	-5.5471323322
767	-5.5518637224
768	-5.5562712858
769	-5.5600223853
770	-5.56286141
771	-5.5646480619
772	-5.5653749004
773	-5.5651670115
774	-5.5642588086
775	-5.5629543223
776	-5.5615821684
777	-5.5604532576
778	-5.5598256934
779	-5.5598804725
780	-5.5607071304
781	-5.5622981374
782	-5.5645510724
783	-5.5672783458
784	-5.5702253264
785	-5.5730967463
786	-5.5755910403
787	-5.5774404343
788	-5.5784497548
789	-5.5785267113
790	-5.5776976559
791	-5.5761007707
792	-5.5739741188
793	-5.5716112051
794	-5.569326167
795	-5.5674178757
796	-5.5661398866
797	-5.5656800601
798	-5.5661480379
799	-5.5675692099
800	-5.569884689
801	-5.5729556167
802	-5.5765753164
803	-5.5804859063
804	-5.5844011027
805	-5.5880359523
806	-5.5911404174
807	-5.5935299597
808	-5.5951093724
809	-5.5958850136
810	-5.5959590986
811	-5.59551147
812	-5.5947704603
813	-5.5939797677
814	-5.593367758
815	-5.5931212803
816	-5.5933677695
817	-5.5941646974
818	-5.5954963771
819	-5.5972775593
820	-5.5993631825
821	-5.6015646732
822	-5.6036716228
823	-5.6054771886
824	-5.6068053345
825	-5.6075352502
826	-5.6076188976
827	-5.6070887494
828	-5.6060519952
829	-5.6046760644
830	-5.6031656738
831	-5.6017377025
832	-5.60059708
833	-5.5999167091
834	-5.5998226593
835	-5.6003849841
836	-5.6016136546
837	-5.6034594771
838	-5.6058191033
839	-5.6085448392
840	-5.6114581466
841	-5.6143670728
842	-5.6170860419
843	-5.6194557361
844	-5.6213608898
845	-5.6227444762
846	-5.6236105184
847	-5.6240211606
848	-5.6240852016
849	-5.6239412126
850	-5.6237389617
851	-5.6236196145
852	-5.6236997232
853	-5.6240597157
854	-5.6247369066
855	-5.6257234342
856	-5.6269688188
857	-5.6283868165
858	-5.6298659694
859	-5.6312831323
860	-5.6325190376
861	-5.6334724968
862	-5.6340746064
863	-5.6342976042
864	-5.6341586786
865	-5.6337175922
866	-5.6330690733
867	-5.632331484
868	-5.6316328867
869	-5.6310971054
870	-5.6308320527
871	-5.6309195689
872	-5.6314089156
873	-5.6323135392
874	-5.6336109157
875	-5.635245562
876	-5.6371344085
877	-5.6391751065
878	-5.6412558947
879	-5.6432666181
880	-5.645109739
881	-5.6467100622
882	-5.6480219372
883	-5.6490326223
884	-5.6497621625
885	-5.6502585132
886	-5.6505900108
887	-5.6508358955
888	-5.6510761479
889	-5.6513821126
890	-5.6518087443
891	-5.6523894789
892	-5.6531332516
893	-5.654024401
894	-5.6550253269
895	-5.6560829982
896	-5.6571330705
897	-5.6581095173
898	-5.658951931
899	-5.6596133049
900	-5.6600663322
901	-5.6603068461
902	-5.6603544673
903	-5.660250773
904	-5.6600547555
905	-5.6598364372
906	-5.6596694888
907	-5.6596241461
908	-5.6597602379
909	-5.6601223305
910	-5.6607357136
911	-5.6616046681
912	-5.662712573
913	-5.6640238307
914	-5.6654873648
915	-5.6670415719
916	-5.6686202906
917	-5.6701584723
918	-5.6715988793
919	-5.6728988317
920	-5.6740313674
921	-5.6749882464
922	-5.6757795713
923	-5.6764315986
924	-5.6769822164
925	-5.6774759791
926	-5.677958437
927	-5.678470732
928	-5.6790448383
929	-5.6797002233
930	-5.6804419976
931	-5.6812606981
932	-5.6821336509
933	-5.6830278485
934	-5.6839039973
935	-5.6847213131
936	-5.6854427119
937	-5.6860393126
938	-5.6864941584
939	-5.6868050853
940	-5.6869858869
941	-5.6870640871
942	-5.6870792763
943	-5.6870788077
944	-5.6871134501
945	-5.6872324091
946	-5.6874786758
947	-5.6878852245
948	-5.6884721496
949	-5.6892450852
950	-5.690194889
951	-5.6912987477
952	-5.6925225494
953	-5.6938240446
954	-5.6951568649
955	-5.6964749709
956	-5.697736958
957	-5.6989098592
958	-5.6999718201
959	-5.7009138169
960	-5.7017395846
961	-5.7024642679
962	-5.7031116413
963	-5.7037106497
964	-5.7042915713
965	-5.7048820671
966	-5.7055037162
967	-5.7061693591
968	-5.7068817049
969	-5.7076331101
970	-5.708406585
971	-5.7091778264
972	-5.7099185671
973	-5.7105999426
974	-5.7111962539
975	-5.7116885412
976	-5.7120674212
977	-5.7123347239
978	-5.7125041373
979	-5.7126000393
980	-5.7126554585
981	-5.7127093351
982	-5.7128029444
983	-5.7129754031
984	-5.7132604868
985	-5.7136835706
986	-5.7142594203
987	-5.7149909653
988	-5.715869297
989	-5.7168745825
990	-5.7179780291
991	-5.7191447526
992	-5.7203369949
993	-5.7215176867
994	-5.7226538104
995	-5.7237193142
996	-5.7246972514
997	-5.725580687
998	-5.7263720036
999	-5.7270827224
1000	-5.7277312396
1001	-5.7283388692
1002	-5.7289273539
1003	-5.7295158751
1004	-5.7301185674
1005	-5.7307426274
1006	-5.7313875662
1007	-5.7320453566
1008	-5.732701525
1009	-5.7333371448
1010	-5.7339314367
1011	-5.734464592
1012	-5.7349208123
1013	-5.7352905781
1014	-5.7355726875
1015	-5.735774983
1016	-5.7359141953
1017	-5.7360146947
1018	-5.7361064884
1019	-5.7362224482
1020	-5.7363953017
1021	-5.736654483
1022	-5.7370238991
1023	-5.7375193964
1024	-5.7381475047
1025	-5.7389049995
1026	-5.7397792596
1027	-5.7407496117
1028	-5.7417893308
1029	-5.7428680453
1030	-5.7439546074
1031	-5.7450199447
1032	-5.7460394702
1033	-5.7469951029
1034	-5.7478764007
1035	-5.7486808127
1036	-5.7494130948
1037	-5.7500838666
1038	-5.7507075982
1039	-5.7513002133
1040	-5.7518769742
1041	-5.7524502191
1042	-5.7530277108
1043	-5.75361174
1044	-5.7541991324
1045	-5.7547816825
1046	-5.7553474924
1047	-5.7558827778
1048	-5.7563740119
1049	-5.7568098554
1050	-5.7571833237
1051	-5.7574937477
1052	-5.7577466066
1053	-5.7579539768
1054	-5.7581337902
1055	-5.7583084016
1056	-5.7585024647
1057	-5.7587412163
1058	-5.7590477026
1059	-5.7594408397
1060	-5.7599337315
1061	-5.7605325373
1062	-5.7612359667
1063	-5.7620354453
1064	-5.7629160267
1065	-5.7638577707
1066	-5.7648376744
1067	-5.7658315752
1068	-5.7668163511
1069	-5.7677710536
1070	-5.7686807727
1071	-5.7695353505
1072	-5.7703304193
1073	-5.7710671138
1074	-5.7717511766
1075	-5.7723916307
1076	-5.7729992462
1077	-5.7735847185
1078	-5.7741571211
1079	-5.7747229118
1080	-5.7752849898
1081	-5.7758426347
1082	-5.7763916468
1083	-5.7769252416
1084	-5.77743523
1085	-5.7779134241
1086	-5.7783530978
1087	-5.7787502947
1088	-5.7791047753
1089	-5.7794204804
1090	-5.7797064141
1091	-5.779975176
1092	-5.7802425042
1093	-5.7805258928
1094	-5.7808430953
1095	-5.7812105214
1096	-5.7816418737
1097	-5.782146892
1098	-5.7827304328
1099	-5.7833921478
1100	-5.7841266002
1101	-5.7849236482
1102	-5.7857696246
1103	-5.7866483023
1104	-5.7875424686
1105	-5.788435276
1106	-5.7893115652
1107	-5.7901591093
1108	-5.790969145
1109	-5.7917367906
1110	-5.79246097
1111	-5.7931438996
1112	-5.7937903013
1113	-5.7944063412
1114	-5.7949986484
1115	-5.7955732082
1116	-5.7961346873
1117	-5.7966857668
1118	-5.7972268514
1119	-5.7977563606
1120	-5.7982710449
1121	-5.7987667994
1122	-5.799239345
1123	-5.7996850097
1124	-5.8001019717
1125	-5.8004906839
1126	-5.8008542209
1127	-5.801198433
1128	-5.8015316957
1129	-5.801864397
1130	-5.8022081554
1131	-5.8025748894
1132	-5.8029758342
1133	-5.8034205789
1134	-5.8039162549
1135	-5.8044669283
1136	-5.805073241
1137	-5.8057323943
1138	-5.8064385652
1139	-5.8071830778
1140	-5.8079553302
1141	-5.8087440142
1142	-5.8095374653
1143	-5.8103248762
1144	-5.8110968751
1145	-5.8118461318
1146	-5.8125676926
1147	-5.8132590369
1148	-5.8139198709
1149	-5.8145517546
1150	-5.8151575441
1151	-5.8157407627
1152	-5.8163049058
1153	-5.8168531495
1154	-5.8173876881
1155	-5.8179095928
1156	-5.8184187886
1157	-5.8189142206
1158	-5.8193941693
1159	-5.8198566743
1160	-5.8203002686
1161	-5.8207241938
1162	-5.8211288715
1163	-5.8215163799
1164	-5.8218904025
1165	-5.8222562116
1166	-5.8226204366
1167	-5.8229906122
1168	-5.8233746625
1169	-5.8237803081
1170	-5.8242144574
1171	-5.824682649
1172	-5.8251885869
1173	-5.825733887
1174	-5.8263179308
1175	-5.8269379108
1176	-5.8275886062
1177	-5.8282640772
1178	-5.8289570712
1179	-5.8296597281
1180	-5.8303642993
1181	-5.831063624
1182	-5.8317515521
1183	-5.8324232928
1184	-5.8330755534
1185	-5.8337065482
1186	-5.8343158844
1187	-5.8349041733
1188	-5.8354728402
1189	-5.836023733
1190	-5.8365587573
1191	-5.837079529
1192	-5.8375871873
1193	-5.8380823007
1194	-5.8385648653
1195	-5.8390344463
1196	-5.8394903947
1197	-5.8399320684
1198	-5.8403592508
1199	-5.8407723318
1200	-5.8411725819
1201	-5.841562309
1202	-5.8419448645
1203	-5.8423245065
1204	-5.8427062415
1205	-5.8430955317
1206	-5.8434979338
1207	-5.8439187065
1208	-5.8443624172
1209	-5.8448325948
1210	-5.8453314565
1211	-5.8458597357
1212	-5.846416626
